id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
38100,"Students perform unit equivalences as a meaningless, mechanical process without understanding that equivalent measurements represent the same real-world quantity.","Despite being able to formally 'solve equivalences', students were surprised to discover that the final calculated price of a product was the same whether the weight was expressed in kilograms, hectograms, or grams.",measurement,unit conversions,Equivalences,student,fourth class of primary school,ZDM_Bonotto_2001_How,Cinzia Bonotto,2001,ZDM,uncoded,secondary,"80, 81",pdfs/ZDM/ZDM_Bonotto_2001_How.pdf
38184,"Students struggle to conceptually partition continuous quantities into equal-sized groups, instead falling back on calculating a quotient and independently iterating that numerical value.","Instead of splitting a given 24 cm line segment representing 8 seconds into four equal parts, a student divided 24 by 4 to get 6, then independently drew and iterated a 6 cm group four times on the number line.",measurement,division of continuous quantities,Partitive division,student,middle school,ZDM_Lobato_2015_Leveraging,"Joanne Lobato, C. David Walters, Charles Hohensee, John Gruver, Jaime Marie Diamond",2015,ZDM Mathematics Education,deficit,primary,"976, 977",pdfs/ZDM/ZDM_Lobato_2015_Leveraging.pdf
38291,"Students do not interpret trigonometric inputs as arc lengths measured in units of radii, nor do they interpret outputs as fractions of the radius, instead treating inputs as a new circle radius or counting grid units absolutely.","When asked to approximate sin(1.2) using a unit circle and a pipe cleaner, Gil measured 1.2 units and attempted to create a new circle with a radius of 1.2. Another student, Kate, counted 9.5 grid squares and initially failed to interpret this as the fraction 0.95 of the radius.",measurement,radian measure,unit circle scaling,student,college,JMB_MartinezPlanell_2016_Unit,"Rafael Martínez-Planell, Angel Cruz Delgado",2016,Journal of Mathematical Behavior,deficit,primary,125-127,pdfs/JMB/JMB_MartinezPlanell_2016_Unit.pdf
38340,"Students initially treated steepness as an extensive quantity that could be measured directly by its physical features, rather than constructing it as an intensive quantity or ratio.","Terry suggested measuring steepness directly by using the angle of inclination or a level, showing how far the bubble was off center.",measurement,steepness,extensive vs intensive quantities,student,8th- to 10th-grade,JMB_Lobato_2002_Quantitative,"Joanne Lobato, Daniel Siebert",2002,Journal of Mathematical Behavior,deficit,secondary,96,pdfs/JMB/JMB_Lobato_2002_Quantitative.pdf
38582,"Preservice teachers may misapply characteristics of one-dimensional length measurement to two-dimensional area measurement, such as assuming linear conversions apply directly to area or believing the side length of a tile is equal to the number of square units it contains.","When asked how many 8-inch square tiles it would take to cover a square foot, Lenny created two 8 x 1 inch tiles and reasoned that he had used tiles to cover 16 inches, not attending to the fact that an 8-inch square tile is 8 inches by 8 inches.",measurement,area measurement,area unit conversions,PST,K-8,JMB_Wickstrom_2017_Pre-service,"Megan H. Wickstrom, Elizabeth W. Fulton, Mary Alice Carlson",2017,Journal of Mathematical Behavior,deficit,primary,"120, 121, 122",pdfs/JMB/JMB_Wickstrom_2017_Pre-service.pdf
38584,"When partitioning a space into smaller regions to cover it with partial tiles, preservice teachers may accurately divide the space but fail to relate the smaller cut pieces back to the fractional amount of the original tile.","Addie correctly reasoned about the number of 8x8, 8x4, and 4x4 tiles needed to cover a square foot, but she simply summed the raw counts of the tiles (e.g., yielding 4 pieces) instead of relating the smaller pieces back to the original 8-inch square tile.",measurement,area measurement,partitioning area units,PST,K-8,JMB_Wickstrom_2017_Pre-service,"Megan H. Wickstrom, Elizabeth W. Fulton, Mary Alice Carlson",2017,Journal of Mathematical Behavior,deficit,secondary,126,pdfs/JMB/JMB_Wickstrom_2017_Pre-service.pdf
38635,"Students confuse the concepts of area and perimeter, mistakenly believing that finding the perimeter (circumference) is the way to measure the size of a given irregular shape on a map.","When asked to estimate the area of the continent, some students measured the circumference in cm and converted it to km, with one student stating that finding the area means 'one has to like find, measure the outline (contour) with the ruler, and that's it.'",measurement,area and perimeter,irregular shapes,student,15-year-olds,JMB_Roth_2015_Assessment,"Wolff-Michael Roth, Kadriye Ercikan, Marielle Simon, Romeo Fola",2015,Journal of Mathematical Behavior,deficit,secondary,97-98,pdfs/JMB/JMB_Roth_2015_Assessment.pdf
38675,"Children may conflate the attribute of two-dimensional area with one-dimensional length, attempting to measure area using a ruler to find length and reporting numerical results in linear units.","When asked how much space a square (and a triangle) covers, 41% of children used a ruler to measure length and gave a numerical response, such as '9.' When asked what '9' would mean in that context, they said it would be 'inches.'",measurement,area measurement,attribute of area,student,Grades 1-3,JMB_Clements_2018_Evaluation,"Douglas H. Clements, Julie Sarama, Douglas W. Van Dine, Jeffrey E. Barrett, Craig J. Cullen, Aaron Hudyma, Ron Dolgin, Amanda L. Cullen, Cheryl L. Eames",2018,Journal of Mathematical Behavior,deficit,secondary,,pdfs/JMB/JMB_Clements_2018_Evaluation.pdf
38677,"When counting to find the total area of a region without an explicit row and column structure, children may count around the boundary first and then unsystematically inside, losing track or counting units twice.","In counting to a total, may count around the border and then systematically on the inside... losing track or double counting.",measurement,area measurement,quantifying area,student,Grades 1-3,JMB_Clements_2018_Evaluation,"Douglas H. Clements, Julie Sarama, Douglas W. Van Dine, Jeffrey E. Barrett, Craig J. Cullen, Aaron Hudyma, Ron Dolgin, Amanda L. Cullen, Cheryl L. Eames",2018,Journal of Mathematical Behavior,deficit,primary,,pdfs/JMB/JMB_Clements_2018_Evaluation.pdf
38694,"When calculating the perimeter of shapes drawn on a square grid, students incorrectly assume that a diagonal line segment crossing a grid square has a length of one unit, identical to the horizontal and vertical sides of the square.",a line drawn as the hypotenuse of a small square had length of one unit (rather than the square root of 2).,measurement,perimeter,distance on a grid,mixed,"middle years (11–15 year-olds, Grades 5-8)",JMB_Clarke_2018_Using,"Doug Clarke, Anne Roche",2018,Journal of Mathematical Behavior,deficit,passing,,pdfs/JMB/JMB_Clarke_2018_Using.pdf
38991,"Preservice teachers confuse volume with area when presented with 3-dimensional shapes, identifying the empty space inside or the edges as the area.","...five of the students revealed that they confused volume with area by indicating either the empty space inside or the edges, saying that the area could be calculated by measuring the height, width and length.",measurement,area and volume concepts,3-dimensional shapes,PST,first-year teacher education students,ESM_Baturo_1996_Student,ANNETTE BATURO and ROD NASON,1996,Educational Studies in Mathematics,deficit,primary,"251, 257",pdfs/ESM/ESM_Baturo_1996_Student.pdf
38993,Students mistakenly believe that there are 100 square centimeters in a square meter because there are 100 centimeters in a meter.,...all of the students but two said that it was more than 1 square meter because there's 100 cm in a meter.,measurement,area conversions,Square units,PST,first-year teacher education students,ESM_Baturo_1996_Student,ANNETTE BATURO and ROD NASON,1996,Educational Studies in Mathematics,deficit,primary,"253, 257",pdfs/ESM/ESM_Baturo_1996_Student.pdf
38995,"Students equate the existence of area strictly with the act of measuring it, believing that non-polygonal shapes or unmeasured entities lack an area.","Another student selected only the polygons because they had 'four sides'. These three students appeared to associate the notion of area with the measurement of area (i.e., area does not exist until it is measured).",measurement,definition of area,Existence of area vs measurement,PST,first-year teacher education students,ESM_Baturo_1996_Student,ANNETTE BATURO and ROD NASON,1996,Educational Studies in Mathematics,deficit,secondary,251,pdfs/ESM/ESM_Baturo_1996_Student.pdf
39003,"Students erroneously extend area formulas to situations where they are invalid, such as multiplying all the dimensions of a shape together.","To calculate the area of a triangle with dimensions a, b, and c, students proposed multiplying the three dimensions (a x b x c) or calculating (a + b + c) x 3.",measurement,area formulas,Triangles and parallelograms,student,CM1 (9-10 ans) et un CM2 (10-11 ans),ESM_Douady_1989_Un,Regine Douady and Marie-Jeanne Perrin-Glorian,1989,Educational Studies in Mathematics,deficit,primary,"395, 409, 410, 411",pdfs/ESM/ESM_Douady_1989_Un.pdf
39005,Students believe that expressing the area of a surface in a specific unit (like cm²) strictly requires the ability to physically pave the surface with shapes of that exact unit.,Students encounter difficulties expressing the area of a triangle in cm² because they cannot physically pave the triangle with square tiles.,measurement,area measurement,Paving and units,student,CM1 (9-10 ans) et un CM2 (10-11 ans),ESM_Douady_1989_Un,Regine Douady and Marie-Jeanne Perrin-Glorian,1989,Educational Studies in Mathematics,deficit,primary,"394, 418",pdfs/ESM/ESM_Douady_1989_Un.pdf
39332,"Students make logical assumptions from everyday language, confusing perimeter with area outside boundary.",Student calculated area outside figure for perimeter; explained basketball perimeter shooter shoots from outside border.,measurement,perimeter,everyday language interference,student,high school,ESM_Lochhead_1992_Knocking,JACK LOCHHEAD,1992,Educational Studies in Mathematics,productive,secondary,551,pdfs/ESM/ESM_Lochhead_1992_Knocking.pdf
39393,"Students failed to attend to industry-specific mathematical norms such as required tolerances, rounding conventions, and standard gaps.","Not accounting for the standard gap of 3/32"" required between components before assembly in welded pipe assemblies.",measurement,tolerances and rounding,,student,adult students,ESM_LaCroix_2014_Learning,Lionel LaCroix,2014,Educational Studies in Mathematics,sociocultural,secondary,170,pdfs/ESM/ESM_LaCroix_2014_Learning.pdf
39524,"Students lack a robust grasp of volume and cannot visualize or enumerate the hidden interior units of a 3D block, instead merely counting the visible exterior faces or squares.","When asked to state the number of minis in a large block, a student counted the 6 faces and suggested there were 600 minis, or simply counted the visible squares of a 2x2x2 cube.",measurement,volume,rectangular arrays,student,Year 5 and Year 7,ESM_Stacey_2001_Effect_a,"KAYE STACEY, SUE HELME, SHONA ARCHER and CAROLINE CONDON",2001,Educational Studies in Mathematics,deficit,secondary,208,pdfs/ESM/ESM_Stacey_2001_Effect_a.pdf
39536,"Preservice teachers ignore critical constraints in multistep word problems, stopping after finding a single set of valid dimensions instead of optimizing for the required condition.",Giving only one example of possible dimensions for a 1000-liter tank and completely ignoring the request to find the dimensions that result in the smallest surface area.,measurement,volume and surface area,Optimization,PST,primary,MERJ_Taplin_1998_Preservice,Margaret Taplin,1998,Mathematics Education Research Journal,deficit,secondary,64,pdfs/MERJ/MERJ_Taplin_1998_Preservice.pdf
39593,"A teacher rigidly associates area exclusively with multiplication and perimeter exclusively with addition, rejecting a student's valid multiplicative strategy for finding the perimeter of a square.","When one student found the perimeter of a square by multiplying the length of one side by four, she did not initiate a class discussion because she thought this method would confuse students.",measurement,area and perimeter,Formulas and operations,mixed,primary,MERJ_Cady_2006_Mathematical,"JoAnn Cady, Sherry L. Meier & Cheryl A. Lubinski",2006,Mathematics Education Research Journal,deficit,secondary,12,pdfs/MERJ/MERJ_Cady_2006_Mathematical.pdf
39598,"Students may believe that a shape's size relative to another is dependent on its physical orientation, struggling to coordinate two dimensions simultaneously when comparing area.","A student felt a triangular shape was bigger than a rectangular one in one orientation but not when turned, leading him to abandon size as a metric and instead choose the shape that was the 'widest'.",measurement,area,Conservation of area,student,second grade,MERJ_Watanabe_1995_Coordination,Tad Watanabe,1995,Mathematics Education Research Journal,deficit,primary,169,pdfs/MERJ/MERJ_Watanabe_1995_Coordination.pdf
39607,"Students misinterpret decimal representations of time, incorrectly translating the decimal part directly into minutes instead of calculating the fraction of an hour.",Converting 1.2 hours to 1 hour and 20 minutes instead of 1 hour and 12 minutes.,measurement,time conversion,Decimal hours to minutes,student,1st level university,MERJ_Galligan_2015_Investigating,Linda Galligan & Carola Hobohm,2015,Mathematics Education Research Journal,deficit,primary,134,pdfs/MERJ/MERJ_Galligan_2015_Investigating.pdf
39621,"Students confuse the concepts of area and perimeter, often incorrectly substituting the value of the 'inside' area for the 'outside' perimeter.","When asked for the perimeter of a rectangle with an area of 24 square units, a student incorrectly stated the perimeter was 24, reasoning that 'it's got 24 square units in it'.",measurement,area and perimeter,,mixed,"year 6, year 10, and first year primary teacher education",MERJ_Sullivan_1992_Problem,Peter Sullivan and David Clarke,1992,Mathematics Education Research Journal,deficit,secondary,"57, 58",pdfs/MERJ/MERJ_Sullivan_1992_Problem.pdf
39656,"Students fail to understand the row and column array structure of rectangles, leading them to use the area formula procedurally without understanding why multiplying length by width is valid.","Without experiencing array structure, students may use the area formula incorrectly, may not consider a unit square to be the unit of area, and may not be able to connect the number of squares in a covering and area.",measurement,area,Array structure and area formula,other,Grades 1 to 6,MERJ_Hong_2018_Do,Dae S. Hong & Kyong Mi Choi & Cristina Runnalls & Jihyun Hwang,2018,Mathematics Education Research Journal,deficit,primary,"326, 341, 342",pdfs/MERJ/MERJ_Hong_2018_Do.pdf
39663,"Preservice teachers rely rigidly on lock-step algorithmic procedures without sense-making or estimation, accepting highly unreasonable volume answers due to a lack of magnitude and spatial sense.","Calculating that 81,600 cubic metres of concrete is needed for a simple barbecue area without realizing the magnitude of the answer is completely inappropriate for the context.",measurement,volume,Number sense and magnitude,PST,primary,MERJ_Zevenbergen_2005_Primary,Robyn Zevenbergen,2005,Mathematics Education Research Journal,deficit,primary,"11, 16, 20, 21",pdfs/MERJ/MERJ_Zevenbergen_2005_Primary.pdf
39743,"Students calculate rates of change as a purely numerical procedure, ignoring the context of the problem and failing to assign or correctly interpret the units of measure.",Stating 'acceleration is 2.5 metres per second' (using incorrect units for acceleration) or omitting the units of measure entirely.,measurement,rate of change,Units of measure,student,pre-university,IJMEST_DoloresFlores_2019_Exploring,"Crisólogo Dolores-Flores, Martha Iris Rivera-López & Javier García-García",2019,International Journal of Mathematical Education in Science and Technology,deficit,secondary,,pdfs/IJMEST/IJMEST_DoloresFlores_2019_Exploring.pdf
39863,Students inappropriately assume that continuous quantities or dimensions must be divided into a whole number of squares to be measured or rearranged.,"Trying to divide a 5m by 1m board into five squares to rearrange them into a larger square, then recursively dividing them into smaller squares, assuming they must fit into whole units.",measurement,length and area,Continuous measurement,PST,"second or third year of college mathematics, taking courses towards a mathematics teacher certification",IJMEST_Peled_1999_Difficulties,Irit Peled & Sara Hershkovitz,1999,International Journal of Mathematical Education in Science and Technology,deficit,secondary,,pdfs/IJMEST/IJMEST_Peled_1999_Difficulties.pdf
40010,Students mistakenly mathematise the quantity or value of a two-dimensional object using its one-dimensional diameter or circumference rather than its area.,"A pizza costs 10 kroner per diameter. If you choose the one at 40, it is true that you pay 10 kroner more than for the one at 30 kroner. But you also get 10 diameter more pizza",measurement,area vs. perimeter,circle dimensions,student,grades 10–12,IJMEST_Jankvist_2019_Upper,Uffe Thomas Jankvist & Mogens Niss,2019,International Journal of Mathematical Education in Science and Technology,deficit,primary,,pdfs/IJMEST/IJMEST_Jankvist_2019_Upper.pdf
40043,"Students inappropriately apply a total area division model to a discrete cutting problem, finding the quotient of the total areas without considering the specific dimensional constraints and orientations of the rectangular shapes.","Some of the students applied the total area division model, i.e. found the integer part resulting from the division of the cardboard area, S, by the greeting card area, s (85x65 = 5525; 8x6 = 48; 5525/48 = 115).",measurement,area,discrete vs. continuous area / packing,PST,secondary,JMTE_Peled_2007_Role,Irit Peled,2007,J Math Teacher Educ,deficit,primary,"372, 373, 377",pdfs/JMTE/JMTE_Peled_2007_Role.pdf
40157,"Teachers experience a mathematical perturbation regarding the relationship between area and perimeter, discovering with astonishment that increasing a figure's area by adding a square does not necessarily increase its perimeter, and can actually leave it unchanged or decrease it.","Finding that by adding one square (area unit) to a figure, the perimeter could change by +2, 0, -2, or -4 units.",measurement,area and perimeter,relationship between area and perimeter,in_service,secondary,JMTE_Even_1999_Development,Ruhama Even,1999,Journal of Mathematics Teacher Education,productive,secondary,"8, 9",pdfs/JMTE/JMTE_Even_1999_Development.pdf
40212,"Prospective teachers demonstrate pervasive imprecision with units, rates, calculations, and the equals sign, often substituting expected values into intermediate calculations or dropping units inconsistently.","Writing the rate as '3 pieces / 12 sec' but calculating the answer as 4, or stating '3 pieces = 2 cuts'.",measurement,units and rates,dimensional analysis and equality,PST,elementary,JMTE_Boote_2018_Abc,"Stacy K. Boote, David N. Boote",2018,J Math Teacher Educ,deficit,primary,"113, 114",pdfs/JMTE/JMTE_Boote_2018_Abc.pdf
40225,"When a student proposes a shortcut for finding arc length by multiplying the radian measure by the radius, justifying it by stating 'a radian is just a length of a radius', the teacher bypasses the opportunity to reinforce the conceptual quantitative relationship and instead validates the shortcut purely algebraically.","The teacher responds to the student's suggestion by crossing out the '2π' terms in the expression '0.45/(2π) · (2πr)', stating 'So these cancel and we can see that's the reason why.'",measurement,angle measure,arc length and radians,in_service,secondary,JMTE_Tallman_2018_Angle,"Michael A. Tallman, Kristin M. Frank",2018,J Math Teacher Educ,deficit,secondary,,pdfs/JMTE/JMTE_Tallman_2018_Angle.pdf
40254,"When determining the perimeter of a rectangle, students incorrectly add only the length and the width together (two sides) instead of calculating the distance all the way around (four sides).",A bunch of you added 10 + 6. Is that all the way around?,measurement,perimeter,rectangles,mixed,elementary,JMTE_Steele_2001_Interfacing,DIANA F. STEELE,2001,Journal of Mathematics Teacher Education,deficit,passing,153,pdfs/JMTE/JMTE_Steele_2001_Interfacing.pdf
40288,Students struggle to understand how units can be mathematically multiplied when calculating area or volume.,"Students do not understand that calculating area is not just a length, but that centimeters times centimeters gives centimeters squared.",measurement,units,multiplying units,mixed,middle and secondary,JMTE_Lannin_2013_Development,"John K. Lannin, Matthew Webb, Kathryn Chval, Fran Arbaugh, Sarah Hicks, Cynthia Taylor, Rebecca Bruton",2013,J Math Teacher Educ,deficit,passing,417,pdfs/JMTE/JMTE_Lannin_2013_Development.pdf
40362,"Students confuse the concepts of area and perimeter, failing to correctly distinguish between or accurately determine the two measurements.",,measurement,perimeter and area,distinguishing attributes,mixed,fourth graders,IJSME_Huang_2017_Curriculum,Hsin-Mei E. Huang,2017,International Journal of Science and Mathematics Education,deficit,primary,1325,pdfs/IJSME/IJSME_Huang_2017_Curriculum.pdf
40443,Students incorrectly relate the amount of ribbon needed to wrap a box to the box's volume or its number of faces rather than its perimeter.,"a cylinder has two faces and the cube has six, therefore the second one needs more ribbon.",measurement,perimeter,3D shapes,PST,university,IJSME_Almeida_2016_Strategies,Rut Almeida & Alicia Bruno & Josefa Perdomo-Diaz,2016,International Journal of Science and Mathematics Education,deficit,primary,969,pdfs/IJSME/IJSME_Almeida_2016_Strategies.pdf
40602,"Students lack the units-locating and organizing-by-composites processes necessary to mentally structure a 2D array into rows and columns, causing them to count along random paths and lose track of the unit squares.","When trying to predict how many squares would cover a rectangle, Katy pointed and counted randomly, predicting 30, but on a second count got 24, and on a third got 27.",measurement,area,spatial structuring,student,"elementary school, second graders, fifth graders",MTL_Battista_2004_Applying,Michael T. Battista,2004,Mathematical Thinking and Learning,mixed,primary,"193, 194",pdfs/MTL/MTL_Battista_2004_Applying.pdf
40604,"Students cannot conceptualize what is actually being counted when applying the standard volume algorithm, leading to confusion about why corner cubes are not counted three times or leading to the overgeneralization of the algorithm in non-standard contexts.","Bethany was puzzled by the length times width times height algorithm, feeling that the corner cube gets counted once for each dimension. Other students incorrectly apply 3 x 3 x 5 to find the volume using packages of 2 cubes.",measurement,volume,volume formula,student,"elementary school, second graders, fifth graders",MTL_Battista_2004_Applying,Michael T. Battista,2004,Mathematical Thinking and Learning,mixed,primary,"200, 201",pdfs/MTL/MTL_Battista_2004_Applying.pdf
40638,"Students equate measuring with the physical act of counting steps rather than covering an amount of space, leading them to miscount the placement of the first foot.","Some students did not count the placement of the first foot, starting their counting with 'one' on the second foot.",measurement,linear measurement,pacing,student,,MTL_Gravemeijer_2004_Local,Koeno Gravemeijer,2004,Mathematical Thinking and Learning,productive,primary,"122, 123",pdfs/MTL/MTL_Gravemeijer_2004_Local.pdf
40640,"Students associate a number word with the sequential placement of a measurement tool rather than the accumulated amount of space covered, leading to errors when a unit extends past the item.","When a 10-cube Smurf bar extended beyond the item on the second iteration, students counted the extra cubes as '21, 22, 23' instead of '11, 12, 13', treating '20' as the word for the second placement.",measurement,linear measurement,iterating units,student,,MTL_Gravemeijer_2004_Local,Koeno Gravemeijer,2004,Mathematical Thinking and Learning,deficit,primary,123,pdfs/MTL/MTL_Gravemeijer_2004_Local.pdf
40654,"Students confuse the concept of area with the concept of perimeter, calculating the perimeter when asked to estimate the area of an irregular figure.","When asked to estimate the area of an irregular island on a grid, 17% of the U.S. students estimated the perimeter of the irregular figure instead of its area.",measurement,area and perimeter,estimation,student,sixth-grade,MTL_Cai_2000_Mathematical,Jinfa Cai,2000,Mathematical Thinking and Learning,deficit,secondary,330,pdfs/MTL/MTL_Cai_2000_Mathematical.pdf
